book,order,section_type,part_number,number,title,heading_id,heading_text,pov,word_count,line_start,line_end
The Way of Kings,1,prelude,,,Prelude to the Stormlight Archive,prelude,Prelude to the Stormlight Archive,Kalak,1298,1,94
The Way of Kings,2,prologue,,,To Kill,prologue,Prologue: To Kill,Szeth,6194,95,358
The Way of Kings,3,part,1,1,Above Silence,part_1,Part One: Above Silence,,3,359,362
The Way of Kings,4,chapter,1,1,Stormblessed,chapter_1,Chapter 1: Stormblessed,Cenn,4554,363,652
The Way of Kings,5,chapter,1,2,Honor Is Dead,chapter_2,Chapter 2: Honor Is Dead,Kaladin,5056,653,942
The Way of Kings,6,chapter,1,3,City of Bells,chapter_3,Chapter 3: City of Bells,Shallan,5283,943,1194
The Way of Kings,7,chapter,1,4,The Shattered Plains,chapter_4,Chapter 4: The Shattered Plains,Kaladin,4125,1195,1426
The Way of Kings,8,chapter,1,5,Heretic,chapter_5,Chapter 5: Heretic,Shallan,4060,1427,1696
The Way of Kings,9,chapter,1,6,Bridge Four,chapter_6,Chapter 6: Bridge Four,Kaladin,7207,1697,2144
The Way of Kings,10,chapter,1,7,Anything Reasonable,chapter_7,Chapter 7: Anything Reasonable,Shallan,6162,2145,2520
The Way of Kings,11,chapter,1,8,Nearer the Flame,chapter_8,Chapter 8: Nearer the Flame,Shallan,6921,2521,2996
The Way of Kings,12,chapter,1,9,Damnation,chapter_9,Chapter 9: Damnation,Kaladin,2357,2997,3136
The Way of Kings,13,chapter,1,10,Stories of Surgeons,chapter_10,Chapter 10: Stories of Surgeons,Kaladin,2283,3137,3284
The Way of Kings,14,chapter,1,11,Droplets,chapter_11,Chapter 11: Droplets,Kaladin,3182,3285,3514
The Way of Kings,15,interlude,1,1,Ishikk,interlude_1,Interlude I-1: Ishikk,Ishikk,2050,3515,3650
The Way of Kings,16,interlude,1,2,Nan Balat,interlude_2,Interlude I-2: Nan Balat,Nan Balat,1332,3651,3716
The Way of Kings,17,interlude,1,3,The Glory of Ignorance,interlude_3,Interlude I-3: The Glory of Ignorance,Szeth,2002,3717,3860
The Way of Kings,18,part,2,2,The Illuminating Storms,part_2,Part Two: The Illuminating Storms,,0,3861,3862
The Way of Kings,19,chapter,2,12,Unity,chapter_12,Chapter 12: Unity,Dalinar,7630,3863,4374
