book,order,heading_id,section_type,title,heading_text,pov,word_count,pc1,pc2
The Way of Kings,1,prelude,prelude,Prelude to the Stormlight Archive,Prelude to the Stormlight Archive,Kalak,1298,-0.0030843078814218675,-0.008835888478986932
The Way of Kings,2,prologue,prologue,To Kill,Prologue: To Kill,Szeth,6194,-0.004362253769818924,-0.003976114723174945
The Way of Kings,4,chapter_1,chapter,Stormblessed,Chapter 1: Stormblessed,Cenn,4554,-0.012826565577558912,0.009738254759421588
The Way of Kings,5,chapter_2,chapter,Honor Is Dead,Chapter 2: Honor Is Dead,Kaladin,5056,-0.0015402946243348546,-0.008772672888687208
The Way of Kings,6,chapter_3,chapter,City of Bells,Chapter 3: City of Bells,Shallan,5283,0.011769675317289912,-0.012012711875723616
The Way of Kings,7,chapter_4,chapter,The Shattered Plains,Chapter 4: The Shattered Plains,Kaladin,4125,-0.003127661180388442,-0.01288082848933253
The Way of Kings,8,chapter_5,chapter,Heretic,Chapter 5: Heretic,Shallan,4060,0.01230569425975348,-0.015465490148346379
The Way of Kings,9,chapter_6,chapter,Bridge Four,Chapter 6: Bridge Four,Kaladin,7207,-0.024373328296452744,0.02549820835973682
The Way of Kings,10,chapter_7,chapter,Anything Reasonable,Chapter 7: Anything Reasonable,Shallan,6162,0.01686610451837297,-0.015453151196481111
The Way of Kings,11,chapter_8,chapter,Nearer the Flame,Chapter 8: Nearer the Flame,Shallan,6921,0.011284857527285877,-0.013365930272624825
The Way of Kings,12,chapter_9,chapter,Damnation,Chapter 9: Damnation,Kaladin,2357,-0.021764885856978333,0.02696265899700091
The Way of Kings,13,chapter_10,chapter,Stories of Surgeons,Chapter 10: Stories of Surgeons,Kaladin,2283,0.04722883266205366,0.009849912298875108
The Way of Kings,14,chapter_11,chapter,Droplets,Chapter 11: Droplets,Kaladin,3182,-0.012255667827344534,0.010967925471650904
The Way of Kings,15,interlude_1,interlude,Ishikk,Interlude I-1: Ishikk,Ishikk,2050,-0.00018464310119103514,-0.012992541775019486
The Way of Kings,16,interlude_2,interlude,Nan Balat,Interlude I-2: Nan Balat,Nan Balat,1332,0.012691102779957223,-0.01210572955322878
The Way of Kings,17,interlude_3,interlude,The Glory of Ignorance,Interlude I-3: The Glory of Ignorance,Szeth,2002,0.0012060991883843274,-0.004020614075044859
The Way of Kings,19,chapter_12,chapter,Unity,Chapter 12: Unity,Dalinar,7630,0.012892067807968364,0.0042884776123913665
The Way of Kings,20,chapter_13,chapter,Ten Heartbeats,Chapter 13: Ten Heartbeats,Dalinar/Adolin,3362,-0.0018689601673961473,-0.0018756516723153567
The Way of Kings,21,chapter_14,chapter,Payday,Chapter 14: Payday,Kaladin,3882,-0.015839253986013883,0.012050852603301647
The Way of Kings,22,chapter_15,chapter,The Decoy,Chapter 15: The Decoy,Dalinar/Adolin,9174,0.004911304105266727,0.004927190912587798
The Way of Kings,23,chapter_16,chapter,Cocoons,Chapter 16: Cocoons,Kaladin,5605,0.021420211633291254,0.0016944185083569558
The Way of Kings,24,chapter_17,chapter,"A Bloody, Red Sunset","Chapter 17: A Bloody, Red Sunset",Kaladin,6977,-0.013594647947966283,0.022152160546215716
The Way of Kings,25,chapter_18,chapter,Highprince of War,Chapter 18: Highprince of War,Dalinar,8439,0.0126426678157412,-0.00243856662825359
The Way of Kings,26,chapter_19,chapter,Starfalls,Chapter 19: Starfalls,Dalinar,5950,0.0029242543544958713,-0.01114214060940167
The Way of Kings,27,chapter_20,chapter,Scarlet,Chapter 20: Scarlet,Kaladin,755,0.005304851188292367,-0.0009003668406233863
The Way of Kings,28,chapter_21,chapter,Why Men Lie,Chapter 21: Why Men Lie,Kaladin,4371,-0.01572471999045752,0.018301796308381142
The Way of Kings,29,chapter_22,chapter,"Eyes, Hands, or Spheres?","Chapter 22: Eyes, Hands, or Spheres?",Dalinar,5674,0.008151416687309765,-0.0047882265388108
