narr_pos,book,book_short,chapter_order,heading_id,section_type,part_number,pov,heading_text,n_paras,compound_mean,compound_std,pos_mean,neg_mean
1,The Way of Kings,WoK,1,prelude,prelude,,Kalak,Prelude to the Stormlight Archive,45,-0.11957,0.52754,0.077,0.11227
2,The Way of Kings,WoK,2,prologue,prologue,,Szeth,Prologue: To Kill,129,-0.14111,0.51692,0.05839,0.10015
3,The Way of Kings,WoK,4,chapter_1,chapter,1.0,Cenn,Chapter 1: Stormblessed,142,-0.15784,0.49894,0.05859,0.10589
4,The Way of Kings,WoK,5,chapter_2,chapter,1.0,Kaladin,Chapter 2: Honor Is Dead,141,-0.05163,0.47829,0.08599,0.09856
5,The Way of Kings,WoK,6,chapter_3,chapter,1.0,Shallan,Chapter 3: City of Bells,123,0.30363,0.45977,0.13092,0.04618
6,The Way of Kings,WoK,7,chapter_4,chapter,1.0,Kaladin,Chapter 4: The Shattered Plains,112,0.02219,0.46246,0.07844,0.08009
7,The Way of Kings,WoK,8,chapter_5,chapter,1.0,Shallan,Chapter 5: Heretic,132,0.13412,0.43147,0.10677,0.059
8,The Way of Kings,WoK,9,chapter_6,chapter,1.0,Kaladin,Chapter 6: Bridge Four,220,-0.0973,0.45008,0.06398,0.1078
9,The Way of Kings,WoK,10,chapter_7,chapter,1.0,Shallan,Chapter 7: Anything Reasonable,185,0.18199,0.48883,0.12111,0.06586
10,The Way of Kings,WoK,11,chapter_8,chapter,1.0,Shallan,Chapter 8: Nearer the Flame,235,0.14858,0.48283,0.12221,0.06608
11,The Way of Kings,WoK,12,chapter_9,chapter,1.0,Kaladin,Chapter 9: Damnation,65,-0.3137,0.42274,0.04329,0.12755
12,The Way of Kings,WoK,13,chapter_10,chapter,1.0,Kaladin,Chapter 10: Stories of Surgeons,73,0.14449,0.46034,0.10958,0.07314
13,The Way of Kings,WoK,14,chapter_11,chapter,1.0,Kaladin,Chapter 11: Droplets,111,-0.08385,0.48286,0.06556,0.09287
14,The Way of Kings,WoK,15,interlude_1,interlude,1.0,Ishikk,Interlude I-1: Ishikk,67,0.05468,0.47298,0.10088,0.08525
