narr_pos,book,book_short,chapter_order,label,heading_text
1,The Way of Kings,WoK,1,WoK #1,Prelude to the Stormlight Archive
2,The Way of Kings,WoK,2,WoK #2,Prologue: To Kill
3,The Way of Kings,WoK,4,WoK #4,Chapter 1: Stormblessed
4,The Way of Kings,WoK,5,WoK #5,Chapter 2: Honor Is Dead
5,The Way of Kings,WoK,6,WoK #6,Chapter 3: City of Bells
6,The Way of Kings,WoK,7,WoK #7,Chapter 4: The Shattered Plains
7,The Way of Kings,WoK,8,WoK #8,Chapter 5: Heretic
8,The Way of Kings,WoK,9,WoK #9,Chapter 6: Bridge Four
9,The Way of Kings,WoK,10,WoK #10,Chapter 7: Anything Reasonable
10,The Way of Kings,WoK,11,WoK #11,Chapter 8: Nearer the Flame
11,The Way of Kings,WoK,12,WoK #12,Chapter 9: Damnation
12,The Way of Kings,WoK,13,WoK #13,Chapter 10: Stories of Surgeons
13,The Way of Kings,WoK,14,WoK #14,Chapter 11: Droplets
14,The Way of Kings,WoK,15,WoK #15,Interlude I-1: Ishikk
15,The Way of Kings,WoK,16,WoK #16,Interlude I-2: Nan Balat
16,The Way of Kings,WoK,17,WoK #17,Interlude I-3: The Glory of Ignorance
17,The Way of Kings,WoK,19,WoK #19,Chapter 12: Unity
18,The Way of Kings,WoK,20,WoK #20,Chapter 13: Ten Heartbeats
19,The Way of Kings,WoK,21,WoK #21,Chapter 14: Payday
20,The Way of Kings,WoK,22,WoK #22,Chapter 15: The Decoy
21,The Way of Kings,WoK,23,WoK #23,Chapter 16: Cocoons
22,The Way of Kings,WoK,24,WoK #24,"Chapter 17: A Bloody, Red Sunset"
23,The Way of Kings,WoK,25,WoK #25,Chapter 18: Highprince of War
24,The Way of Kings,WoK,26,WoK #26,Chapter 19: Starfalls
25,The Way of Kings,WoK,27,WoK #27,Chapter 20: Scarlet
26,The Way of Kings,WoK,28,WoK #28,Chapter 21: Why Men Lie
27,The Way of Kings,WoK,29,WoK #29,"Chapter 22: Eyes, Hands, or Spheres?"
28,The Way of Kings,WoK,30,WoK #30,Chapter 23: Many Uses
29,The Way of Kings,WoK,31,WoK #31,Chapter 24: The Gallery of Maps
30,The Way of Kings,WoK,32,WoK #32,Chapter 25: The Butcher
31,The Way of Kings,WoK,33,WoK #33,Chapter 26: Stillness
32,The Way of Kings,WoK,34,WoK #34,Chapter 27: Chasm Duty
33,The Way of Kings,WoK,35,WoK #35,Chapter 28: Decision
34,The Way of Kings,WoK,40,WoK #40,Chapter 29: Errorgance
35,The Way of Kings,WoK,41,WoK #41,Chapter 30: Darkness Unseen
36,The Way of Kings,WoK,42,WoK #42,Chapter 31: Beneath the Skin
37,The Way of Kings,WoK,43,WoK #43,Chapter 32: Side Carry
38,The Way of Kings,WoK,44,WoK #44,Chapter 33: Cymatics
39,The Way of Kings,WoK,45,WoK #45,Chapter 34: Stormwall
40,The Way of Kings,WoK,46,WoK #46,Chapter 35: A Light by Which to See
41,The Way of Kings,WoK,47,WoK #47,Chapter 36: The Lesson
42,The Way of Kings,WoK,48,WoK #48,Chapter 37: Sides
43,The Way of Kings,WoK,49,WoK #49,Chapter 38: Envisager
44,The Way of Kings,WoK,50,WoK #50,Chapter 39: Burned Into Her
45,The Way of Kings,WoK,51,WoK #51,Chapter 40: Eyes of Red and Blue
46,The Way of Kings,WoK,52,WoK #52,Chapter 41: Of Alds and Milp
47,The Way of Kings,WoK,53,WoK #53,Chapter 42: Beggars and Barmaids
48,The Way of Kings,WoK,54,WoK #54,Chapter 43: The Wretch
49,The Way of Kings,WoK,55,WoK #55,Chapter 44: The Weeping
50,The Way of Kings,WoK,56,WoK #56,Chapter 45: Shadesmar
51,The Way of Kings,WoK,57,WoK #57,Chapter 46: Child of Tanavast
52,The Way of Kings,WoK,58,WoK #58,Chapter 47: Stormblessings
53,The Way of Kings,WoK,59,WoK #59,Chapter 48: Strawberry
54,The Way of Kings,WoK,60,WoK #60,Chapter 49: To Care
55,The Way of Kings,WoK,61,WoK #61,Chapter 50: Backbreaker Powder
56,The Way of Kings,WoK,62,WoK #62,Chapter 51: Sas Nahn
57,The Way of Kings,WoK,67,WoK #67,Chapter 52: A Highway to the Sun
58,The Way of Kings,WoK,68,WoK #68,Chapter 53: Dunny
59,The Way of Kings,WoK,69,WoK #69,Chapter 54: Gibletish
60,The Way of Kings,WoK,70,WoK #70,Chapter 55: An Emerald Broam
61,The Way of Kings,WoK,71,WoK #71,Chapter 56: That Storming Book
62,The Way of Kings,WoK,72,WoK #72,Chapter 57: Wandersail
63,The Way of Kings,WoK,73,WoK #73,Chapter 58: The Journey
64,The Way of Kings,WoK,74,WoK #74,Chapter 59: An Honor
65,The Way of Kings,WoK,75,WoK #75,Chapter 60: That Which We Cannot Have
66,The Way of Kings,WoK,76,WoK #76,Chapter 61: Right for Wrong
67,The Way of Kings,WoK,77,WoK #77,Chapter 62: Three Glyphs
68,The Way of Kings,WoK,78,WoK #78,Chapter 63: Fear
69,The Way of Kings,WoK,79,WoK #79,Chapter 64: A Man of Extremes
70,The Way of Kings,WoK,80,WoK #80,Chapter 65: The Tower
71,The Way of Kings,WoK,81,WoK #81,Chapter 66: Codes
72,The Way of Kings,WoK,82,WoK #82,Chapter 67: Words
73,The Way of Kings,WoK,83,WoK #83,Chapter 68: Eshonai
74,The Way of Kings,WoK,84,WoK #84,Chapter 69: Justice
75,The Way of Kings,WoK,86,WoK #86,Chapter 70: Sea of Glass
76,The Way of Kings,WoK,87,WoK #87,Chapter 71: Recorded in Blood
77,The Way of Kings,WoK,88,WoK #88,Chapter 72: Veristitalian
78,The Way of Kings,WoK,89,WoK #89,Chapter 73: Trust
79,The Way of Kings,WoK,90,WoK #90,Chapter 74: Ghostblood
80,The Way of Kings,WoK,91,WoK #91,Chapter 75: In the Top Room
81,The Way of Kings,WoK,92,WoK #92,Epilogue: Of Most Worth
82,Words of Radiance,WoR,1,WoR #1,Prologue: To Question
83,Words of Radiance,WoR,3,WoR #3,Chapter 1: Santhid
84,Words of Radiance,WoR,4,WoR #4,Chapter 2: Bridge Four
85,Words of Radiance,WoR,5,WoR #5,Chapter 3: Pattern
86,Words of Radiance,WoR,6,WoR #6,Chapter 4: Taker of Secrets
87,Words of Radiance,WoR,7,WoR #7,Chapter 5: Ideals
88,Words of Radiance,WoR,8,WoR #8,Chapter 6: Terrible Destruction
89,Words of Radiance,WoR,9,WoR #9,Chapter 7: Open Flame
90,Words of Radiance,WoR,10,WoR #10,Chapter 8: Knives in the Back • Soldiers on the Field
91,Words of Radiance,WoR,11,WoR #11,Chapter 9: Walking the Grave
92,Words of Radiance,WoR,13,WoR #13,Chapter 11: An Illusion of Perception
93,Words of Radiance,WoR,14,WoR #14,Chapter 12: Hero
94,Words of Radiance,WoR,15,WoR #15,Interlude I-1
95,Words of Radiance,WoR,17,WoR #17,Interlude I-3
96,Words of Radiance,WoR,18,WoR #18,Interlude I-4
97,Words of Radiance,WoR,20,WoR #20,Chapter 13: The Day's Masterpiece
98,Words of Radiance,WoR,21,WoR #21,Chapter 14: Ironstance
99,Words of Radiance,WoR,22,WoR #22,Chapter 15: A Hand with the Tower
100,Words of Radiance,WoR,23,WoR #23,Chapter 16: Swordmaster
101,Words of Radiance,WoR,24,WoR #24,Chapter 17: A Pattern
102,Words of Radiance,WoR,25,WoR #25,Chapter 18: Bruises
103,Words of Radiance,WoR,26,WoR #26,Chapter 19: Safe Things
104,Words of Radiance,WoR,27,WoR #27,Chapter 20: The Coldness of Clarity
105,Words of Radiance,WoR,28,WoR #28,Chapter 21: Ashes
106,Words of Radiance,WoR,29,WoR #29,Chapter 22: Lights in the Storm
107,Words of Radiance,WoR,30,WoR #30,Chapter 23: Assassin
108,Words of Radiance,WoR,31,WoR #31,Chapter 24: Tyn
109,Words of Radiance,WoR,32,WoR #32,Chapter 25: Monsters
110,Words of Radiance,WoR,33,WoR #33,Chapter 26: The Feather
111,Words of Radiance,WoR,34,WoR #34,Chapter 27: Fabrications to Distract
112,Words of Radiance,WoR,35,WoR #35,Chapter 28: Boots
113,Words of Radiance,WoR,36,WoR #36,Chapter 29: Rule of Blood
114,Words of Radiance,WoR,37,WoR #37,Chapter 30: Nature Blushing
115,Words of Radiance,WoR,38,WoR #38,Chapter 31: The Stillness Before
116,Words of Radiance,WoR,39,WoR #39,Chapter 32: The One Who Hates
117,Words of Radiance,WoR,40,WoR #40,Chapter 33: Burdens
118,Words of Radiance,WoR,41,WoR #41,Chapter 34: Blossoms and Cake
119,Words of Radiance,WoR,43,WoR #43,Interlude I-6
120,Words of Radiance,WoR,44,WoR #44,Interlude I-7
121,Words of Radiance,WoR,47,WoR #47,Chapter 35: The Multiplied Strain of Simultaneous Infusion
122,Words of Radiance,WoR,48,WoR #48,Chapter 36: A New Woman
123,Words of Radiance,WoR,49,WoR #49,Chapter 37: A Matter of Perspective
124,Words of Radiance,WoR,50,WoR #50,Chapter 38: The Silent Storm
125,Words of Radiance,WoR,51,WoR #51,Chapter 39: Heterochromatic
126,Words of Radiance,WoR,52,WoR #52,Chapter 40: Palona
127,Words of Radiance,WoR,53,WoR #53,Chapter 41: Scars
128,Words of Radiance,WoR,54,WoR #54,Chapter 42: Mere Vapors
129,Words of Radiance,WoR,55,WoR #55,Chapter 43: The Ghostbloods
130,Words of Radiance,WoR,56,WoR #56,Chapter 44: One Form of Justice
131,Words of Radiance,WoR,57,WoR #57,Chapter 45: Middlefest
132,Words of Radiance,WoR,58,WoR #58,Chapter 46: Patriots
133,Words of Radiance,WoR,59,WoR #59,Chapter 47: Feminine Wiles
134,Words of Radiance,WoR,60,WoR #60,Chapter 48: No More Weakness
135,Words of Radiance,WoR,61,WoR #61,Chapter 49: Watching the World Transform
136,Words of Radiance,WoR,62,WoR #62,Chapter 50: Uncut Gems
137,Words of Radiance,WoR,63,WoR #63,Chapter 51: Heirs
138,Words of Radiance,WoR,64,WoR #64,Chapter 52: Into the Sky
139,Words of Radiance,WoR,65,WoR #65,Chapter 53: Perfection
140,Words of Radiance,WoR,66,WoR #66,Chapter 54: Veil's Lesson
141,Words of Radiance,WoR,67,WoR #67,Chapter 55: The Rules of the Game
142,Words of Radiance,WoR,68,WoR #68,Chapter 56: Whitespine Uncaged
143,Words of Radiance,WoR,69,WoR #69,Chapter 57: To Kill the Wind
144,Words of Radiance,WoR,70,WoR #70,Chapter 58: Never Again
145,Words of Radiance,WoR,71,WoR #71,Interlude I-9
146,Words of Radiance,WoR,75,WoR #75,Chapter 59: Fleet
147,Words of Radiance,WoR,76,WoR #76,Chapter 60: Veil Walks
