source,target,book,weight
Adolin,Adrotagia,Words of Radiance,1
Adolin,Aladar,The Way of Kings,4
Adolin,Aladar,Words of Radiance,21
Adolin,Amaram,The Way of Kings,2
Adolin,Amaram,Words of Radiance,35
Adolin,Ash,Words of Radiance,4
Adolin,Balat,Words of Radiance,1
Adolin,Bashin,The Way of Kings,1
Adolin,Bashin,Words of Radiance,1
Adolin,Battah,Words of Radiance,1
Adolin,Battar,The Way of Kings,1
Adolin,Beld,Words of Radiance,1
Adolin,Bethab,The Way of Kings,2
Adolin,Bethab,Words of Radiance,4
Adolin,Bisig,Words of Radiance,2
Adolin,Chana,Words of Radiance,1
Adolin,Dalinar,The Way of Kings,44
Adolin,Dalinar,Words of Radiance,80
Adolin,Drehy,Words of Radiance,10
Adolin,Elhokar,The Way of Kings,28
Adolin,Elhokar,Words of Radiance,27
Adolin,Eshonai,Words of Radiance,4
Adolin,Eth,Words of Radiance,5
Adolin,Gavilar,The Way of Kings,25
Adolin,Gavilar,Words of Radiance,22
Adolin,Gaz,Words of Radiance,10
Adolin,Hatham,The Way of Kings,3
Adolin,Hatham,Words of Radiance,7
Adolin,Helaran,Words of Radiance,4
Adolin,Hobber,Words of Radiance,2
Adolin,Ialai,The Way of Kings,1
Adolin,Ialai,Words of Radiance,4
Adolin,Ishar,Words of Radiance,1
Adolin,Iyatil,Words of Radiance,2
Adolin,Jakamav,The Way of Kings,1
Adolin,Jakamav,Words of Radiance,6
Adolin,Jaks,The Way of Kings,1
Adolin,Jasnah,The Way of Kings,11
Adolin,Jasnah,Words of Radiance,29
Adolin,Kabsal,Words of Radiance,2
Adolin,Kaladin,The Way of Kings,5
Adolin,Kaladin,Words of Radiance,49
Adolin,Kalak,The Way of Kings,1
Adolin,Kalak,Words of Radiance,5
Adolin,Khal,Words of Radiance,16
Adolin,Leyten,Words of Radiance,4
Adolin,Lirin,Words of Radiance,1
Adolin,Lopen,The Way of Kings,1
Adolin,Lopen,Words of Radiance,10
Adolin,Maps,The Way of Kings,1
Adolin,Maps,Words of Radiance,1
Adolin,Mart,Words of Radiance,5
Adolin,Moash,The Way of Kings,2
Adolin,Moash,Words of Radiance,18
Adolin,Mraize,Words of Radiance,6
Adolin,Natam,Words of Radiance,3
Adolin,Navani,The Way of Kings,16
Adolin,Navani,Words of Radiance,47
Adolin,Pailiah,Words of Radiance,1
Adolin,Pattern,Words of Radiance,25
Adolin,Renarin,The Way of Kings,23
Adolin,Renarin,Words of Radiance,41
Adolin,Rock,The Way of Kings,3
Adolin,Rock,Words of Radiance,13
Adolin,Roion,The Way of Kings,5
Adolin,Roion,Words of Radiance,22
Adolin,Roshone,Words of Radiance,5
Adolin,Ruthar,The Way of Kings,1
Adolin,Ruthar,Words of Radiance,11
Adolin,Sadeas,The Way of Kings,37
Adolin,Sadeas,Words of Radiance,45
Adolin,Sebarial,Words of Radiance,24
Adolin,Shalash,Words of Radiance,1
Adolin,Shallan,Words of Radiance,55
Adolin,Sigzil,The Way of Kings,1
Adolin,Sigzil,Words of Radiance,7
Adolin,Skar,The Way of Kings,2
Adolin,Skar,Words of Radiance,15
Adolin,Syl,The Way of Kings,3
Adolin,Syl,Words of Radiance,23
Adolin,Szeth,Words of Radiance,7
Adolin,Talenel,The Way of Kings,1
Adolin,Talenel,Words of Radiance,2
Adolin,Tarah,Words of Radiance,2
Adolin,Taravangian,Words of Radiance,1
Adolin,Teft,The Way of Kings,3
Adolin,Teft,Words of Radiance,14
Adolin,Teleb,The Way of Kings,6
Adolin,Teleb,Words of Radiance,7
Adolin,Thanadal,The Way of Kings,5
Adolin,Thanadal,Words of Radiance,6
Adolin,Tien,The Way of Kings,1
Adolin,Tien,Words of Radiance,7
Adolin,Tyn,Words of Radiance,11
Adolin,Vamah,The Way of Kings,6
Adolin,Vamah,Words of Radiance,3
Adolin,Vathah,Words of Radiance,9
Adolin,Wit,The Way of Kings,8
Adolin,Wit,Words of Radiance,7
Adolin,Yake,Words of Radiance,1
Adolin,Yenev,Words of Radiance,3
Adolin,Zahel,Words of Radiance,14
Adrotagia,Aladar,Words of Radiance,1
Adrotagia,Bisig,Words of Radiance,1
Adrotagia,Dalinar,Words of Radiance,3
Adrotagia,Drehy,Words of Radiance,1
Adrotagia,Gavilar,Words of Radiance,2
Adrotagia,Jasnah,Words of Radiance,1
Adrotagia,Kaladin,Words of Radiance,1
Adrotagia,Khal,Words of Radiance,1
Adrotagia,Leyten,Words of Radiance,1
Adrotagia,Lopen,Words of Radiance,1
Adrotagia,Mart,Words of Radiance,1
Adrotagia,Moash,Words of Radiance,1
Adrotagia,Mraize,Words of Radiance,1
Adrotagia,Mrall,Words of Radiance,1
Adrotagia,Navani,Words of Radiance,1
Adrotagia,Redin,Words of Radiance,1
Adrotagia,Rock,Words of Radiance,1
Adrotagia,Roion,Words of Radiance,1
Adrotagia,Sadeas,Words of Radiance,1
Adrotagia,Shallan,Words of Radiance,2
Adrotagia,Sigzil,Words of Radiance,1
Adrotagia,Syl,Words of Radiance,1
Adrotagia,Szeth,Words of Radiance,3
Adrotagia,Taravangian,Words of Radiance,1
Adrotagia,Teft,Words of Radiance,1
Adrotagia,Valam,Words of Radiance,1
Aesudan,Amaram,Words of Radiance,1
Aesudan,Ash,Words of Radiance,1
Aesudan,Dalinar,Words of Radiance,1
Aesudan,Elhokar,Words of Radiance,2
Aesudan,Gavilar,Words of Radiance,2
Aesudan,Jasnah,Words of Radiance,1
Aesudan,Lhan,Words of Radiance,1
Aesudan,Navani,Words of Radiance,1
Aesudan,Sadeas,Words of Radiance,1
Aesudan,Talenel,Words of Radiance,1
Aladar,Amaram,Words of Radiance,4
Aladar,Ash,Words of Radiance,1
Aladar,Bethab,Words of Radiance,2
Aladar,Dalinar,The Way of Kings,4
Aladar,Dalinar,Words of Radiance,23
Aladar,Drehy,Words of Radiance,1
Aladar,Elhokar,The Way of Kings,3
Aladar,Elhokar,Words of Radiance,6
Aladar,Eshonai,Words of Radiance,2
Aladar,Gavilar,The Way of Kings,3
Aladar,Gavilar,Words of Radiance,11
Aladar,Gaz,Words of Radiance,4
Aladar,Hatham,The Way of Kings,1
Aladar,Hatham,Words of Radiance,4
Aladar,Helaran,Words of Radiance,1
Aladar,Ialai,Words of Radiance,5
Aladar,Jakamav,The Way of Kings,1
Aladar,Jakamav,Words of Radiance,1
Aladar,Jasnah,The Way of Kings,2
Aladar,Jasnah,Words of Radiance,8
Aladar,Kaladin,Words of Radiance,6
Aladar,Kalak,Words of Radiance,2
Aladar,Khal,Words of Radiance,10
Aladar,Moash,Words of Radiance,1
Aladar,Mraize,Words of Radiance,1
Aladar,Navani,Words of Radiance,15
Aladar,Pattern,Words of Radiance,4
Aladar,Renarin,The Way of Kings,4
Aladar,Renarin,Words of Radiance,5
Aladar,Rock,Words of Radiance,3
Aladar,Roion,The Way of Kings,2
Aladar,Roion,Words of Radiance,15
Aladar,Ruthar,The Way of Kings,1
Aladar,Ruthar,Words of Radiance,6
Aladar,Sadeas,The Way of Kings,4
Aladar,Sadeas,Words of Radiance,14
Aladar,Sebarial,Words of Radiance,11
Aladar,Shallan,Words of Radiance,17
Aladar,Sigzil,Words of Radiance,1
Aladar,Skar,Words of Radiance,2
Aladar,Syl,Words of Radiance,1
Aladar,Szeth,Words of Radiance,1
Aladar,Talenel,Words of Radiance,1
Aladar,Teft,Words of Radiance,1
Aladar,Teleb,The Way of Kings,1
Aladar,Teleb,Words of Radiance,5
Aladar,Thanadal,The Way of Kings,2
Aladar,Thanadal,Words of Radiance,4
Aladar,Tyn,Words of Radiance,3
Aladar,Vamah,The Way of Kings,1
Aladar,Vamah,Words of Radiance,3
Aladar,Vathah,Words of Radiance,4
Aladar,Wit,The Way of Kings,1
Aladar,Wit,Words of Radiance,2
Aladar,Yenev,Words of Radiance,3
Aladar,Zahel,Words of Radiance,2
Amaram,Ash,Words of Radiance,3
Amaram,Balat,Words of Radiance,1
Amaram,Bashin,Words of Radiance,1
Amaram,Baxil,The Way of Kings,1
Amaram,Beld,Words of Radiance,1
Amaram,Bethab,Words of Radiance,2
Amaram,Bisig,The Way of Kings,1
Amaram,Bisig,Words of Radiance,2
Amaram,Cenn,The Way of Kings,5
Amaram,Chana,Words of Radiance,1
Amaram,Coreb,The Way of Kings,2
Amaram,Coreb,Words of Radiance,1
Amaram,Dabbid,The Way of Kings,8
Amaram,Dabbid,Words of Radiance,1
Amaram,Dalinar,The Way of Kings,12
Amaram,Dalinar,Words of Radiance,42
Amaram,Drehy,The Way of Kings,8
Amaram,Drehy,Words of Radiance,7
Amaram,Elhokar,Words of Radiance,13
Amaram,Eth,Words of Radiance,3
Amaram,Gavilar,The Way of Kings,4
Amaram,Gavilar,Words of Radiance,12
Amaram,Gaz,The Way of Kings,13
Amaram,Gaz,Words of Radiance,2
Amaram,Geranid,The Way of Kings,1
Amaram,Hatham,Words of Radiance,3
Amaram,Helaran,Words of Radiance,5
Amaram,Hesina,The Way of Kings,2
Amaram,Hobber,The Way of Kings,3
Amaram,Hobber,Words of Radiance,3
Amaram,Ialai,Words of Radiance,1
Amaram,Ishar,Words of Radiance,2
Amaram,Iyatil,Words of Radiance,3
Amaram,Jakamav,Words of Radiance,2
Amaram,Jaks,The Way of Kings,2
Amaram,Jasnah,Words of Radiance,14
Amaram,Jezrien,The Way of Kings,1
Amaram,Kabsal,Words of Radiance,2
Amaram,Kaladin,The Way of Kings,35
Amaram,Kaladin,Words of Radiance,29
Amaram,Kalak,The Way of Kings,7
Amaram,Kalak,Words of Radiance,3
Amaram,Khal,Words of Radiance,4
Amaram,Laral,The Way of Kings,3
Amaram,Leyten,The Way of Kings,8
Amaram,Leyten,Words of Radiance,3
Amaram,Lift,The Way of Kings,2
Amaram,Lirin,The Way of Kings,10
Amaram,Lirin,Words of Radiance,1
Amaram,Lopen,The Way of Kings,10
Amaram,Lopen,Words of Radiance,14
Amaram,Maps,The Way of Kings,5
Amaram,Maps,Words of Radiance,2
Amaram,Mart,Words of Radiance,3
Amaram,Moash,The Way of Kings,17
Amaram,Moash,Words of Radiance,19
Amaram,Mraize,Words of Radiance,5
Amaram,Murk,The Way of Kings,1
Amaram,Natam,Words of Radiance,3
Amaram,Navani,Words of Radiance,16
Amaram,Pattern,Words of Radiance,14
Amaram,Renarin,Words of Radiance,16
Amaram,Rock,The Way of Kings,18
Amaram,Rock,Words of Radiance,13
Amaram,Roion,Words of Radiance,7
Amaram,Roshone,The Way of Kings,7
Amaram,Roshone,Words of Radiance,4
Amaram,Ruthar,Words of Radiance,4
Amaram,Sadeas,The Way of Kings,24
Amaram,Sadeas,Words of Radiance,30
Amaram,Sebarial,Words of Radiance,15
Amaram,Shallan,Words of Radiance,26
Amaram,Sigzil,The Way of Kings,10
Amaram,Sigzil,Words of Radiance,9
Amaram,Skar,The Way of Kings,12
Amaram,Skar,Words of Radiance,9
Amaram,Syl,The Way of Kings,18
Amaram,Syl,Words of Radiance,21
Amaram,Szeth,The Way of Kings,1
Amaram,Talenel,The Way of Kings,2
Amaram,Talenel,Words of Radiance,4
Amaram,Tarah,The Way of Kings,2
Amaram,Tarah,Words of Radiance,1
Amaram,Teft,The Way of Kings,19
Amaram,Teft,Words of Radiance,14
Amaram,Teleb,Words of Radiance,1
Amaram,Thanadal,Words of Radiance,1
Amaram,Tien,The Way of Kings,20
Amaram,Tien,Words of Radiance,6
Amaram,Tyn,Words of Radiance,5
Amaram,Vamah,Words of Radiance,1
Amaram,Vathah,Words of Radiance,3
Amaram,Wit,The Way of Kings,2
Amaram,Wit,Words of Radiance,5
Amaram,Yake,The Way of Kings,5
Amaram,Yake,Words of Radiance,1
Amaram,Yenev,Words of Radiance,1
Amaram,Zahel,Words of Radiance,9
Ash,Dalinar,Words of Radiance,5
