source,target,book,chapter_order,scene_idx,heading_id,pov
Ishar,Jezrien,The Way of Kings,1,1,prelude,Kalak
Ishar,Kalak,The Way of Kings,1,1,prelude,Kalak
Ishar,Talenel,The Way of Kings,1,1,prelude,Kalak
Jezrien,Kalak,The Way of Kings,1,1,prelude,Kalak
Jezrien,Talenel,The Way of Kings,1,1,prelude,Kalak
Kalak,Talenel,The Way of Kings,1,1,prelude,Kalak
Dalinar,Elhokar,The Way of Kings,2,1,prologue,Szeth
Dalinar,Gavilar,The Way of Kings,2,1,prologue,Szeth
Dalinar,Jasnah,The Way of Kings,2,1,prologue,Szeth
Dalinar,Kalak,The Way of Kings,2,1,prologue,Szeth
Dalinar,Palah,The Way of Kings,2,1,prologue,Szeth
Dalinar,Sadeas,The Way of Kings,2,1,prologue,Szeth
Dalinar,Shalash,The Way of Kings,2,1,prologue,Szeth
Dalinar,Szeth,The Way of Kings,2,1,prologue,Szeth
Dalinar,Talenel,The Way of Kings,2,1,prologue,Szeth
Elhokar,Gavilar,The Way of Kings,2,1,prologue,Szeth
Elhokar,Jasnah,The Way of Kings,2,1,prologue,Szeth
Elhokar,Kalak,The Way of Kings,2,1,prologue,Szeth
Elhokar,Palah,The Way of Kings,2,1,prologue,Szeth
Elhokar,Sadeas,The Way of Kings,2,1,prologue,Szeth
Elhokar,Shalash,The Way of Kings,2,1,prologue,Szeth
Elhokar,Szeth,The Way of Kings,2,1,prologue,Szeth
Elhokar,Talenel,The Way of Kings,2,1,prologue,Szeth
Gavilar,Jasnah,The Way of Kings,2,1,prologue,Szeth
Gavilar,Kalak,The Way of Kings,2,1,prologue,Szeth
Gavilar,Palah,The Way of Kings,2,1,prologue,Szeth
Gavilar,Sadeas,The Way of Kings,2,1,prologue,Szeth
Gavilar,Shalash,The Way of Kings,2,1,prologue,Szeth
Gavilar,Szeth,The Way of Kings,2,1,prologue,Szeth
Gavilar,Talenel,The Way of Kings,2,1,prologue,Szeth
Jasnah,Kalak,The Way of Kings,2,1,prologue,Szeth
Jasnah,Palah,The Way of Kings,2,1,prologue,Szeth
Jasnah,Sadeas,The Way of Kings,2,1,prologue,Szeth
Jasnah,Shalash,The Way of Kings,2,1,prologue,Szeth
Jasnah,Szeth,The Way of Kings,2,1,prologue,Szeth
Jasnah,Talenel,The Way of Kings,2,1,prologue,Szeth
Kalak,Palah,The Way of Kings,2,1,prologue,Szeth
Kalak,Sadeas,The Way of Kings,2,1,prologue,Szeth
Kalak,Shalash,The Way of Kings,2,1,prologue,Szeth
Kalak,Szeth,The Way of Kings,2,1,prologue,Szeth
Kalak,Talenel,The Way of Kings,2,1,prologue,Szeth
Palah,Sadeas,The Way of Kings,2,1,prologue,Szeth
Palah,Shalash,The Way of Kings,2,1,prologue,Szeth
Palah,Szeth,The Way of Kings,2,1,prologue,Szeth
Palah,Talenel,The Way of Kings,2,1,prologue,Szeth
Sadeas,Shalash,The Way of Kings,2,1,prologue,Szeth
Sadeas,Szeth,The Way of Kings,2,1,prologue,Szeth
Sadeas,Talenel,The Way of Kings,2,1,prologue,Szeth
Shalash,Szeth,The Way of Kings,2,1,prologue,Szeth
Shalash,Talenel,The Way of Kings,2,1,prologue,Szeth
Szeth,Talenel,The Way of Kings,2,1,prologue,Szeth
Amaram,Cenn,The Way of Kings,4,1,chapter_1,Cenn
Amaram,Gavilar,The Way of Kings,4,1,chapter_1,Cenn
Amaram,Kaladin,The Way of Kings,4,1,chapter_1,Cenn
Amaram,Sadeas,The Way of Kings,4,1,chapter_1,Cenn
Cenn,Gavilar,The Way of Kings,4,1,chapter_1,Cenn
Cenn,Kaladin,The Way of Kings,4,1,chapter_1,Cenn
Cenn,Sadeas,The Way of Kings,4,1,chapter_1,Cenn
Gavilar,Kaladin,The Way of Kings,4,1,chapter_1,Cenn
Gavilar,Sadeas,The Way of Kings,4,1,chapter_1,Cenn
Kaladin,Sadeas,The Way of Kings,4,1,chapter_1,Cenn
Amaram,Kaladin,The Way of Kings,5,1,chapter_2,Kaladin
Amaram,Cenn,The Way of Kings,5,2,chapter_2,Kaladin
Amaram,Kaladin,The Way of Kings,5,2,chapter_2,Kaladin
Amaram,Talenel,The Way of Kings,5,2,chapter_2,Kaladin
Amaram,Tien,The Way of Kings,5,2,chapter_2,Kaladin
Cenn,Kaladin,The Way of Kings,5,2,chapter_2,Kaladin
Cenn,Talenel,The Way of Kings,5,2,chapter_2,Kaladin
Cenn,Tien,The Way of Kings,5,2,chapter_2,Kaladin
Kaladin,Talenel,The Way of Kings,5,2,chapter_2,Kaladin
Kaladin,Tien,The Way of Kings,5,2,chapter_2,Kaladin
Talenel,Tien,The Way of Kings,5,2,chapter_2,Kaladin
Jasnah,Shallan,The Way of Kings,6,1,chapter_3,Shallan
Jasnah,Valam,The Way of Kings,6,1,chapter_3,Shallan
Shallan,Valam,The Way of Kings,6,1,chapter_3,Shallan
Amaram,Kaladin,The Way of Kings,7,1,chapter_4,Kaladin
Amaram,Kaladin,The Way of Kings,7,2,chapter_4,Kaladin
Amaram,Roshone,The Way of Kings,7,2,chapter_4,Kaladin
Amaram,Tien,The Way of Kings,7,2,chapter_4,Kaladin
Kaladin,Roshone,The Way of Kings,7,2,chapter_4,Kaladin
Kaladin,Tien,The Way of Kings,7,2,chapter_4,Kaladin
Roshone,Tien,The Way of Kings,7,2,chapter_4,Kaladin
Elhokar,Jasnah,The Way of Kings,8,1,chapter_5,Shallan
Elhokar,Lhan,The Way of Kings,8,1,chapter_5,Shallan
Elhokar,Sadeas,The Way of Kings,8,1,chapter_5,Shallan
Elhokar,Shallan,The Way of Kings,8,1,chapter_5,Shallan
Elhokar,Taravangian,The Way of Kings,8,1,chapter_5,Shallan
Jasnah,Lhan,The Way of Kings,8,1,chapter_5,Shallan
Jasnah,Sadeas,The Way of Kings,8,1,chapter_5,Shallan
Jasnah,Shallan,The Way of Kings,8,1,chapter_5,Shallan
Jasnah,Taravangian,The Way of Kings,8,1,chapter_5,Shallan
Lhan,Sadeas,The Way of Kings,8,1,chapter_5,Shallan
Lhan,Shallan,The Way of Kings,8,1,chapter_5,Shallan
Lhan,Taravangian,The Way of Kings,8,1,chapter_5,Shallan
Sadeas,Shallan,The Way of Kings,8,1,chapter_5,Shallan
Sadeas,Taravangian,The Way of Kings,8,1,chapter_5,Shallan
Shallan,Taravangian,The Way of Kings,8,1,chapter_5,Shallan
Amaram,Dalinar,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Gavilar,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Gaz,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Kaladin,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Laral,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Lift,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Sadeas,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Talenel,The Way of Kings,9,1,chapter_6,Kaladin
Amaram,Tien,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Gavilar,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Gaz,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Kaladin,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Laral,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Lift,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Sadeas,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Talenel,The Way of Kings,9,1,chapter_6,Kaladin
Dalinar,Tien,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Gaz,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Kaladin,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Laral,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Lift,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Sadeas,The Way of Kings,9,1,chapter_6,Kaladin
Gavilar,Talenel,The Way of Kings,9,1,chapter_6,Kaladin
