character,mentions,community,color_hex,x,y,degree_combined,degree_wok,degree_wor,weighted_degree,betweenness,eigenvector
Dalinar,187,0,#1f77b4,-0.018115270254419148,-0.007263273155699561,71,40,61,1401,0.08772,0.38063
Sadeas,157,7,#ff9896,-0.0563560284350971,-0.020328873435178793,65,44,52,1293,0.04321,0.35597
Kaladin,167,1,#aec7e8,-0.08772325611325095,-0.05255580008552685,59,35,49,1203,0.0108,0.33056
Adolin,146,0,#1f77b4,-0.003257784547162606,0.027399605543633465,57,22,55,1076,0.0139,0.30783
Amaram,85,1,#aec7e8,-0.09532512254864016,-0.00934342887765338,59,32,49,777,0.03408,0.21944
Syl,85,4,#2ca02c,-0.125353157142855,-0.05027474611799876,43,28,38,761,0.0078,0.22612
Shallan,122,2,#ff7f0e,0.023669039535918444,0.12952853483713284,60,11,59,732,0.03199,0.17234
Moash,62,4,#2ca02c,-0.13494759676763252,-0.07511063447322758,41,25,36,673,0.00066,0.19841
Teft,62,4,#2ca02c,-0.16028848277848626,-0.050282693060876106,40,27,33,659,0.00387,0.19104
Rock,63,4,#2ca02c,-0.14224239517289167,-0.01732640019840715,43,28,35,653,0.01389,0.19042
Navani,80,0,#1f77b4,0.028273785874612718,0.016946063052501695,49,12,47,635,0.0167,0.19092
Elhokar,71,0,#1f77b4,0.022417806255286145,-0.06190500518999296,50,19,47,572,0.05937,0.1835
Jasnah,85,2,#ff7f0e,0.06645072799153377,0.1421334620661998,48,23,43,557,0.04915,0.13602
Renarin,71,0,#1f77b4,-0.033140762783503676,0.02422803221607292,47,15,45,548,0.02459,0.17669
Gavilar,73,0,#1f77b4,0.048768567331593134,-0.03451944960766425,54,28,46,543,0.06779,0.16438
Lopen,38,4,#2ca02c,-0.17787884734809756,0.0016725173530703972,37,24,30,444,0.00268,0.13329
Skar,42,4,#2ca02c,-0.10767223176207918,-0.09761619288965176,41,24,30,436,0.01339,0.12739
Gaz,42,4,#2ca02c,-0.13024927694224497,0.041757528231755374,44,24,29,373,0.01692,0.10437
Sigzil,33,4,#2ca02c,-0.19813630134363996,-0.0312706739621308,36,24,26,354,0.00848,0.10808
Tien,42,1,#aec7e8,-0.16278778760797774,-0.13930423179309348,36,30,17,338,0.00779,0.10004
Drehy,26,4,#2ca02c,-0.18500136159970348,-0.09614525847998452,31,20,22,288,0.00618,0.08749
Pattern,48,2,#ff7f0e,-0.029777591231469697,0.1703987502997489,28,0,28,277,0.02236,0.07193
Sebarial,30,2,#ff7f0e,-0.006938925680785287,0.10206519769820804,36,0,36,268,0.03042,0.07515
Aladar,29,0,#1f77b4,0.0943750208822794,0.05197028162045524,33,9,32,261,0.0046,0.07181
Leyten,23,4,#2ca02c,-0.23032388143792842,-0.04281679206594608,32,23,21,259,0.00695,0.07527
Roion,32,0,#1f77b4,0.07742522477157006,0.0011015012896370144,35,11,31,258,0.02485,0.07832
Wit,24,0,#1f77b4,0.06019258654382645,-0.0993273779195618,33,21,21,190,0.02576,0.05967
Kalak,23,6,#d62728,-0.0532259936815502,-0.16504650141690538,35,22,20,187,0.02843,0.05429
Dabbid,15,4,#2ca02c,-0.2826999583567204,-0.047169559184786124,22,22,5,179,0.00207,0.05058
Zahel,17,3,#ffbb78,-0.12496179844532446,0.10637568385324049,26,0,26,146,0.01781,0.05043
Khal,16,0,#1f77b4,0.12598033009450926,-0.06699164870174393,25,0,25,144,0.00984,0.04401
Hobber,14,4,#2ca02c,-0.2762311157717405,-0.11157000864000335,23,17,14,141,0.00911,0.04202
Tyn,18,2,#ff7f0e,0.01860039926407475,0.24016319995579696,25,0,25,139,0.04788,0.03274
Lirin,17,1,#aec7e8,-0.18119107929549022,-0.226301450223783,25,24,0,138,0.00272,0.03801
Roshone,18,1,#aec7e8,-0.12296820565888143,-0.21169573659557114,26,13,19,136,0.01947,0.04176
Ruthar,13,0,#1f77b4,0.13442496031797893,0.0711085075066448,28,0,28,128,0.01583,0.03758
Vathah,15,2,#ff7f0e,-0.0272787039494535,0.21952117731769386,21,0,21,125,0.00708,0.03176
Hatham,10,0,#1f77b4,0.1820150585770681,0.0771405247450249,25,9,25,112,0.00847,0.031
Thanadal,11,0,#1f77b4,0.14258695503740093,0.12907987562028167,22,13,19,111,0.0057,0.03247
Maps,11,4,#2ca02c,-0.2512892149332509,0.06549198343636294,27,23,4,109,0.04233,0.032
Teleb,13,0,#1f77b4,0.18594940468721308,-0.06278386643829437,18,9,15,99,0.00832,0.03259
Mart,8,5,#98df8a,-0.19553200424958064,-0.1880007481960638,23,0,23,97,0.00438,0.03019
Vamah,9,0,#1f77b4,0.20611948593524826,0.020370465640624523,21,10,18,96,0.00648,0.02671
Szeth,24,5,#98df8a,0.059880117883617336,-0.1976724100340229,22,3,20,90,0.02939,0.03019
Kabsal,21,2,#ff7f0e,0.15319193001027911,0.266260105825148,15,6,9,85,0.01272,0.01812
Balat,19,2,#ff7f0e,0.12289904773760751,0.4227370725434239,9,6,8,79,0.00191,0.00829
Yake,6,4,#2ca02c,-0.33359142375430056,-0.1497780651981977,20,19,0,78,0.01231,0.02166
Eth,7,5,#98df8a,-0.050645831529980166,-0.25792143721111555,19,0,19,76,0.00566,0.0246
Helaran,15,2,#ff7f0e,0.03932071374441797,0.36734615226367956,15,2,15,75,0.00879,0.01399
Bethab,6,0,#1f77b4,0.14374481557037375,-0.13932039510146854,24,5,22,72,0.0354,0.0217
Talenel,14,6,#d62728,0.10792521132750012,-0.23618905819657568,18,10,13,69,0.01116,0.02177
Jaks,7,4,#2ca02c,-0.3717333822601027,-0.0073909375630411035,16,16,0,69,0.00126,0.02081
Natam,6,4,#2ca02c,-0.3428772641301605,0.06865171414845792,17,11,13,64,0.00514,0.02081
Bisig,6,4,#2ca02c,-0.29871188276586835,0.1343017906648604,18,8,15,60,0.01006,0.01897
Ash,7,2,#ff7f0e,-0.11368336004336041,0.2569474026629719,17,0,17,58,0.01165,0.01554
Nan,12,2,#ff7f0e,0.21197455461267042,0.4421229350041221,8,6,6,57,0.0,0.00566
Ialai,8,0,#1f77b4,0.2777020787947283,-0.04077963724634388,14,0,12,55,0.00328,0.01738
Mraize,8,2,#ff7f0e,-0.10321895497729804,0.34714134981920103,11,0,11,50,0.00207,0.01208
