narr_pos,topic_id,count
1,-1,10
1,5,3
1,10,1
1,14,2
1,70,25
1,114,1
1,126,1
2,-1,29
2,0,10
2,1,6
2,4,63
2,5,1
2,10,11
2,35,2
2,44,1
2,61,1
2,116,1
3,-1,40
3,0,44
3,1,1
3,5,1
3,10,2
3,25,2
3,29,1
3,51,1
3,53,2
3,58,24
3,61,1
3,71,1
3,114,1
3,129,9
4,-1,84
4,0,27
4,1,1
4,5,3
4,18,1
4,25,3
4,37,5
4,42,1
4,61,1
4,79,2
4,118,1
4,123,1
5,-1,59
5,0,32
5,17,1
5,23,1
5,34,12
5,44,4
5,61,1
5,68,8
5,93,1
6,-1,69
6,0,25
6,1,1
6,5,1
6,37,6
6,51,1
6,61,1
6,62,1
6,80,1
6,81,1
6,96,1
7,-1,45
7,0,56
7,1,1
7,3,1
7,7,1
7,13,1
7,36,4
7,40,3
7,45,5
7,50,2
7,61,1
7,93,2
8,-1,104
8,0,60
8,1,5
8,5,1
8,8,14
8,14,1
8,25,5
8,44,1
8,61,1
8,62,1
8,79,3
8,81,2
9,-1,81
9,0,51
9,7,4
9,17,11
9,22,4
9,29,3
9,34,1
9,36,2
9,37,1
9,40,1
9,42,1
9,50,3
9,61,1
10,-1,99
10,0,73
10,1,1
10,7,7
10,20,4
10,34,23
10,42,2
10,61,1
10,68,1
10,93,1
10,116,1
10,118,1
11,-1,23
11,0,34
11,8,4
11,13,1
11,51,1
11,61,1
11,65,1
11,71,2
12,-1,19
12,0,6
12,1,1
12,6,22
12,14,3
12,30,3
12,31,6
12,72,6
13,-1,47
13,0,34
13,1,7
13,5,1
13,8,4
13,9,1
13,20,1
13,25,1
13,53,1
13,61,1
13,71,1
13,88,1
14,-1,49
14,1,2
14,6,1
14,9,1
14,29,2
14,97,11
15,-1,7
15,0,1
15,7,1
15,25,1
15,27,3
15,48,1
15,55,3
15,96,13
16,-1,25
16,0,8
16,4,14
16,5,1
16,10,1
16,20,1
16,35,8
16,38,1
16,43,3
16,64,1
17,-1,113
17,0,80
17,1,1
17,3,1
