topic_id,label,top_words,total_count,is_catchall,is_outlier
-1,Unclassified,,11130,False,True
0,"#0: bridge, bridgemen, just",bridge|bridgemen|just|like|know|did|father|away|right|think,7838,True,False
1,Storms & Stormlight,stormlight|light|rain|highstorm|highstorms|air|sky|lightning|wall|sphere,289,False,False
3,Horneater (Rock) scenes,gods|horneater|stew|food|live|laughed|drink|good|story|eh,252,False,False
5,Battle & thrill,battlefield|did|battle|change|feel|hope|strength|cursed|hated|strong,175,False,False
6,Kaladin's surgeon flashbacks,town|father|surgeon|brown|mother|table|wound|held|knife|fingers,160,False,False
8,Sadeas's bridge runs,bridge|bridgemen|send|mark|authority|brightness|hated|yeah|patch|storming,153,False,False
7,Shallan internal monologue,idiot|child|mind|needed|father|assuming|did|better|control|certain,150,False,False
2,Listener rhythms,form|sister|rhythm|humans|mother|peace|forms|songs|song|gods,148,False,False
9,Bridge Four banter,lad|know|want|going|idiot|talking|maybe|grunted|son|sitting,137,False,False
11,Royal court,yeah|guard|king|stepping|guess|sorry|says|wants|join|right,127,False,False
12,Taravangian & Diagram,diagram|king|city|son|majesty|days|kill|jah|away|brilliant,121,False,False
10,Shard combat,shardbearer|shardblade|blade|shardplate|weapons|plate|blades|stone|steel|battle,120,False,False
13,Duels,shardblade|shardbearer|win|plate|blade|fight|won|assassin|son|kill,114,False,False
14,Knights Radiant lore,radiant|radiants|heralds|order|orders|abilities|ideal|voidbringers|written|lost,113,False,False
4,Szeth's lashings,shardbearer|stormlight|floor|shardblade|ceiling|king|upward|blade|leaped|hallway,113,False,False
16,Court intrigue,believe|king|growing|laugh|safety|position|send|explain|want|kill,98,False,False
15,Voidbringer / Desolation lore,voidbringers|return|parshmen|heralds|believe|came|destroy|word|nature|damnation,98,False,False
17,Shallan's sketches,paper|drawing|lines|sheet|page|draw|drew|fingers|ridges|mind,94,False,False
19,Slavery & secrets,great|thank|true|listen|best|secrets|know|slave|voices|thinks,87,False,False
21,Troop training,bow|master|foolish|curious|charge|troops|personally|hey|bite|holy,81,False,False
22,Kabsal & poisoned bread,bread|finger|ardent|brother|smell|curious|ardents|raised|mouth|pleasant,80,False,False
20,Spheres & wealth,spheres|sphere|pouch|surgeon|spend|infused|paid|spent|continue|pay,78,False,False
23,Maps & scholarship,city|map|shattered|modern|cities|ancient|notes|scholars|placed|center,77,False,False
18,Surgebinding mechanics,spren|realm|power|nature|human|create|kind|ability|live|world,76,False,False
24,"#24: snorted, old, narrowed",snorted|old|narrowed|smiled|hoping|highprince|fighting|wrote|friend|smile,68,False,False
26,"#26: going, eyebrow, fun",going|eyebrow|fun|want|gesturing|closing|mention|raising|mere|smiled,66,False,False
27,"#27: love, ran, maybe",love|ran|maybe|father|house|kill|coward|say|talked|talk,66,False,False
28,"#28: father, history, assume",father|history|assume|dreams|softly|echoing|prove|eager|fabrial|chamber,64,False,False
30,"#30: son, town, leave",son|town|leave|surgeon|eat|healed|worst|pleasant|proud|brightlord,63,False,False
25,"#25: tired, caused, blood",tired|caused|blood|skin|metal|wound|pain|sleep|hurt|cold,63,False,False
31,"#31: town, father, hate",town|father|hate|window|hero|sigh|talk|words|shock|hesitated,62,False,False
32,"#32: sounding, patterns, seat",sounding|patterns|seat|carriage|trouble|realm|numbers|match|repeated|words,61,False,False
29,"#29: almighty, god, accept",almighty|god|accept|holy|opposite|created|thousands|hate|good|natural,60,False,False
33,"#33: grunted, master, old",grunted|master|old|ardent|means|makes|excellent|allow|son|younger,56,False,False
34,"#34: miss, laughed, master",miss|laughed|master|hey|young|win|waved|short|street|offering,54,False,False
36,"#36: beauty, art, beautiful",beauty|art|beautiful|pictures|master|suppose|story|paint|design|regarded,49,False,False
38,"#38: father, wine, weeping",father|wine|weeping|hasn|staring|house|step|rubbing|helped|cup,48,False,False
37,"#37: wagon, slaves, parshmen",wagon|slaves|parshmen|chull|seat|carried|tvlakv|climbed|rolled|ahead,46,False,False
35,"#35: son, explanation, killing",son|explanation|killing|forbidden|world|destroyed|master|obey|order|ability,44,False,False
40,"#40: create, use, soulcast",create|use|soulcast|wrote|broken|hadn|fabrial|truth|read|ardents,43,False,False
41,"#41: clever, noted, ridiculous",clever|noted|ridiculous|unlike|speak|lucky|understand|shall|child|deal,42,False,False
39,"#39: trade, pot, rope",trade|pot|rope|stupid|legs|forest|lead|effort|blue|stepped,39,False,False
42,"#42: eat, food, dinner",eat|food|dinner|stuff|realm|parents|asking|love|meal|pale,36,False,False
46,"#46: sword, knife, blade",sword|knife|blade|weapon|weapons|regular|swords|shouldn|looks|art,35,False,False
48,"#48: notes, play, song",notes|play|song|silent|soft|sounds|note|smoke|faded|story,34,False,False
47,"#47: king, feet, reply",king|feet|reply|yelled|fist|right|drawn|tower|lips|stumbled,34,False,False
45,"#45: study, history, scholar",study|history|scholar|research|miss|natural|human|nature|expect|scholars,34,False,False
44,"#44: wore, safehand, hair",wore|safehand|hair|tan|worn|coat|waist|trousers|sleeve|exposed,33,False,False
49,"#49: highprinces, wanted, given",highprinces|wanted|given|balance|luck|highprince|authority|runs|clever|wife,33,False,False
50,"#50: ardents, ardent, lot",ardents|ardent|lot|respect|members|smiled|haven|trouble|master|come,33,False,False
51,"#51: spear, weapon, obvious",spear|weapon|obvious|forms|neck|broken|position|soldier|pile|balance,32,False,False
52,"#52: spear, parshmen, slow",spear|parshmen|slow|leave|speaking|regarded|listening|straight|stood|slave,32,False,False
53,"#53: black, wore, uniforms",black|wore|uniforms|brown|mark|modern|beard|lighteyes|uniform|stiff,31,False,False
54,"#54: trade, king, respect",trade|king|respect|return|judge|advantage|trust|know|nose|authority,31,False,False
55,"#55: sword, father, struck",sword|father|struck|blood|screamed|killing|coat|awful|cremlings|grabbed,31,False,False
56,"#56: foot, arrow, storming",foot|arrow|storming|radiants|softly|talking|want|fine|got|bridges,31,False,False
57,"#57: horse, cut, checked",horse|cut|checked|hunt|brightlord|majesty|king|camp|prepared|attempt,30,False,False
58,"#58: die, ready, going",die|ready|going|repeated|wounded|smiling|field|smile|worried|fine,30,False,False
43,"#43: boots, sack, foot",boots|sack|foot|feet|pair|look|guess|holding|going|matter,29,False,False
59,"#59: hey, eh, added",hey|eh|added|glow|yeah|sleep|easy|guess|incredible|fun,29,False,False
60,"#60: coward, news, father",coward|news|father|mother|tired|house|chest|noble|axehound|hunting,29,False,False
61,"#61: death, darkeyed, year",death|darkeyed|year|note|years|thirty|particular|lighteyed|month|child,29,False,False
64,"#64: expensive, effort, lucky",expensive|effort|lucky|single|offering|barely|replaced|waste|afford|plant,27,False,False
65,"#65: enormous, gemhearts, shardplate",enormous|gemhearts|shardplate|plate|cracked|hunting|break|majesty|free|plateaus,27,False,False
67,"#67: laughed, money, damnation",laughed|money|damnation|leaning|fool|stay|riches|wars|existence|speech,27,False,False
63,"#63: song, secrets, songs",song|secrets|songs|final|page|spren|wars|line|note|grand,27,False,False
62,"#62: crem, plants, tower",crem|plants|tower|vines|formations|trees|creature|enormous|winds|beast,27,False,False
68,"#68: ship, captain, miss",ship|captain|miss|crew|young|wife|rough|foot|acted|wore,26,False,False
69,"#69: map, plateau, plateaus",map|plateau|plateaus|shapes|draw|pointing|drew|chasms|remember|yeah,25,False,False
70,"#70: centuries, burning, survived",centuries|burning|survived|stone|ridge|swords|smell|flesh|seven|blades,25,False,False
71,"#71: failed, younger, hated",failed|younger|hated|messenger|hadn|small|upward|enemy|died|stumbled,25,False,False
72,"#72: surgeon, train, mind",surgeon|train|mind|care|glyphs|want|stories|heralds|learn|makes,25,False,False
73,"#73: highprinces, kingdom, noble",highprinces|kingdom|noble|centuries|tomorrow|turn|gemhearts|general|agree|wants,24,False,False
75,"#75: kingdom, says, surgeon",kingdom|says|surgeon|ask|king|deserve|echoing|excellent|assassin|complete,23,False,False
76,"#76: guards, barrack, bridge",guards|barrack|bridge|armor|extra|pretty|wounded|wounds|usually|hung,22,False,False
77,"#77: page, words, noted",page|words|noted|||||||,22,False,False
80,"#80: tvlakv, worth, shattered",tvlakv|worth|shattered|rest|signs|flee|ran|shelter|chuckled|wondering,21,False,False
81,"#81: ridge, buildings, built",ridge|buildings|built|area|eastward|east|warcamps|worn|shattered|passed,21,False,False
79,"#79: tvlakv, evening, smile",tvlakv|evening|smile|met|arguing|differently|belt|ragged|acted|search,21,False,False
78,"#78: forms, form, songs",forms|form|songs|required|worn|research|create|help|discovered|art,20,False,False
84,"#84: dueling, agree, win",dueling|agree|win|forcing|follow|father|hearts|doesn|change|echoed,20,False,False
